ticket,status,symbol,volume,set_price,direction,order_type,SL_abs,TP_abs,SL_bp,TP_bp,balance_at_set,equity_at_set,SL_acc_percent_at_set_(equity),TP_acc_percent_at_set_(equity),open_server_time,open_timestamp,open_price,balance_at_open,equity_at_open,SL_acc_percent_at_open_(equity),TP_acc_percent_at_open_(equity),close_server_time,close_timestamp,close_reason,close_price,points_abs,points_bp,balance_at_close,equity_at_close,P/L_abs,P/L_acc_percent_(equity),P/L_acc_percent_(balance),P/L_acc_percent_(estimate),display,is_shown
330424422,closed,US500,0.3,7676.5,buy,market,7660.0,7690.0,-21.5,17.6,37.0,37.0,-13.5,11.0,1789966603,1789955803,7676.5,37.0,37.0,-13.5,11.0,1789966945,1789956145,manual,7674.6,-1.9,-2.5,36.23,36.23,-0.57,-1.5,-1.5,,basis,True
330418883,closed,US500,0.1,7677.7,buy,market,,,,,37.0,37.0,,,1789965407,1789954607,7677.7,37.0,37.0,,,1789965508,1789954708,manual,7677.0,-0.7,-0.9,36.8,36.8,-0.07,-0.2,-0.2,,basis,True
330418041,closed,US500,0.1,7678.8,buy,market,,,,,37.0,37.0,,,1789965217,1789954417,7678.8,37.0,37.0,,,1789965273,1789954473,manual,7678.3,-0.5,-0.7,36.92,36.86,-0.05,-0.1,-0.1,,basis,True
330416608,closed,US500,0.1,7677.5,buy,market,,,,,37.0,37.0,,,1789964985,1789954185,7677.5,37.0,37.0,,,1789965101,1789954301,manual,7677.8,0.3,0.4,,,0.03,,,0.1,basis,True
330412837,closed,US500,0.1,7678.4,buy,market,,,,,37.0,37.0,,,1789964320,1789953520,7678.4,37.0,37.0,,,1789964344,1789953544,manual,7678.1,-0.3,-0.4,36.92,36.89,-0.03,-0.1,-0.1,,basis,True
330409945,closed,US500,0.3,7678.8,buy,market,7660.0,7690.0,-24.5,14.6,37.0,37.0,-15.2,9.0,1789963876,1789953076,7678.8,37.0,37.0,-15.2,9.0,1789963896,1789953096,manual,7678.1,-0.7,-0.9,37.13,36.92,-0.21,-0.6,-0.6,,basis,True
330406582,closed,US500,0.2,7677.3,buy,market,7660.0,7690.0,-22.5,16.5,37.0,37.0,-14.8,12.3,1789963492,1789952692,7677.3,37.0,37.0,-14.8,12.3,1789963630,1789952830,manual,7678.4,1.1,1.4,36.91,37.13,0.22,0.6,0.6,,basis,True
330324064,closed,ETHUSD,0.22,2632.54,buy,market,2600.0,2650.0,-1.2,0.7,38.0,38.0,-19.0,10.2,1789780143,1789769343,2632.54,38.0,38.0,-19.0,10.2,1789780148,1789769348,manual,2629.11,-3.4,-0.1,37.66,36.91,-0.75,-2.0,-2.0,,percent,True
329922826,closed,US500,0.1,7633.4,buy,market,,,,,38.0,38.0,,,1789704325,1789693525,7633.4,38.0,38.0,,,1789704352,1789693552,manual,7632.6,-0.8,-1.0,37.74,37.63,-0.08,-0.2,-0.2,,basis,True
329858717,closed,US500,0.1,7639.8,buy,market,,,,,38.0,38.0,,,1789679438,1789668638,7639.8,38.0,38.0,,,1789679443,1789668643,manual,7639.2,-0.6,-0.8,37.8,37.74,-0.06,-0.2,-0.2,,basis,True
329858674,closed,US500,0.1,7639.3,buy,market,,,,,38.0,38.0,,,1789679419,1789668619,7639.3,38.0,38.0,,,1789679430,1789668630,manual,7639.2,-0.1,-0.1,37.81,37.8,-0.01,-0.0,-0.0,,basis,True
